Mapping Ref,Ref,Project Name ,Sponsor ,LA,Pipeline First Cut ,Known HE involvement?,Postcode,Developer ,One Line Summary ,Number Of Units ,Site Size (hectares),Greenfield/Brownfield,Place-based Pipeline Y/N,Place-based Pipeline Link,Mix,SPP Priority Area Y/N,SPP Priority Area,Planning  Status ,Developer Status ,Land Ownership Type ,Procurement Route ,Enabling Works Start,Housing Start,Project Completion Date ,Market Failure Type,Intervention Required?,Revenue / Development Ask ,Intervention Type,Constraints,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
54,RP054,Pilch Lane,Onward,Knowsley,Short,0,L14 0JG,Onward,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of Runcorn,35,0.72,Brownfield,No ,,"18 x SR, 17 x RTB",No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,TBC,2026-04-01 00:00:00,2027-02-01 00:00:00,2028-08-01 00:00:00,,0,,,,,,,,,,,,
55,RP055,MUGA ,Onward,Wirral,Medium,0,CH43 7YP,Onward,Development of 12 houses,12,1,Brownfield,No ,,Social rent,No,,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Public,D&B,2026/26,2026/27,2027/28,,0,,,Acquisition of Land from Wirral Council ,,,,,,,,,
56,RP056,Carrs Terrace,Onward,Knowsley,Short,0,L35 3QP,Onward,Development of 18 units,18,1,Brownfield,No ,,100% Social Rent,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Single Private,D&B,2026/26,2026/26,2027/28,,0,,,,,,,,,,,,
57,RP057,Gaywood  Close,Onward,Wirral,Medium,0,CH43 7TT,Onward,Demolition of older blocks for the development of 21 houses,21,1.5,Brownfield,No ,,Social Rent,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Single Private,D&B,,,,,0,,,,,,,,,,,,
58,RP058,Litherland House ,One Vision Housing ,Sefton,Medium,0,L20 3PJ,One Vision / Sovini ,"Litherland will deliver around 135 new homes. These could be multi tenure and will include 1 & 2 bed properties, with the mix  TBC.  The development will include access arrangements, landscaping and parking. Sovini have introduced a number of 1 beds which meet housing need.  The 1 beds specifically could be targeted to elderly which meet the LCR objective of meeting the expected increase in over 65s within the LCR to 1 in 4 by 2041. Site is located in Bootle. ",135,TBC,Brownfield,No ,,TBC,No,,"No Allocation, No Planning Permission, expired permission or other ",Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,In House to Sovini ,2027-01-01 00:00:00,2027-01-01 00:00:00,2028-06-01 00:00:00,,1,,Increased Grant to acheive increased final tenure mic of Social rent ,Delay in receipt of AHP Grant ,,,,,,,,,
59,RP059,The Grafton ,One Vision Housing ,Liverpool,Short,0,L6 9BY,Sovini ,"This exciting project will deliver 90 new build apartments, 47 x 1 bed and 43 x 2 bed, within two residential buildings of 4 and 4-6 storeys. The development will include a new access, landscaping and parking, following demolition.The scheme has planning permission 23F/1939, March 2025. The site has also been bought in and is owned by the Sovini Group. ",90,TBC,Brownfield,No ,,TBC inc Social rent ,No,,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,In House to Sovini ,2025-08-01 00:00:00,2026-08-01 00:00:00,2028-02-01 00:00:00,,1,,Increased Grant to acheive increased final tenure mic of Social rent ,,,,,,,,,,
60,RP060,OVH Consolidation Scheme,One Vision Housing ,Sefton,Short,0,Multiple,Sovini ,25 houses and bungalows across multiple sites in Bootle,25,,Brownfield,Yes,Bootle Town Centre,RTB/AF/SO/SR,Yes,Bootle Town Centre,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,In House to Sovini ,TBC ,TBC,TBC,,0,,Grant needed but amount unknown,,,,,,,,,,
61,RP061,Stockham Lane Phase 2,One Vision Housing ,Halton,Medium,0,Stockham Lane,Sovini ,"90 new homes, including 30 new flats off Stockham Lane",90,,,Yes,Runcorn,TBC,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,In House to Sovini ,2027-02-01 00:00:00,2027-08-01 00:00:00,2029-02-01 00:00:00,,1,,90 units x £118k ,,,,,,,,,,
62,RP062,Merton House,One Vision Housing ,Sefton,Short,0,L20 3DL,Sovini ,"Delivery of 26 social rent apartments, 8 of which will be a refurbishment of the former public house at Stork Inn and the remaining 18 units will be a new build apartment block. All to be checked, Looks like things may have moved. Check duplicates with SEF022",140,,Brownfield,No ,,,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,In House to Sovini ,2026-06-01 00:00:00,2026-08-01 00:00:00,2028-06-01 00:00:00,,1,,90 units x £118k ,,,,,,,,,,
63,RP063,Church Road,Prima,Wirral,Medium,1,CH42 0LH,Prima,"The construction of circa 20 homes for supported living on the site of the former Gladstone Liberal Club at 90 Church Road, Tranmere, Wirral .
",20,0.29,Brownfield,No ,,19 - 23 units for social purpose with a rent exception to accommodate supported housing needs.,Yes,Central Birkenhead ,"No Allocation, No Planning Permission, expired permission or other ",Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,TBC,2025-07-01 00:00:00,2026-06-01 00:00:00,2028-06-01 00:00:00,Coordination Failure,0,,"Demolition of exsisting structures. Recieved £1,350,000 from NHS, £2m from AHP ",,,,,,,,,,
64,RP064,Birket Square,Prima,Wirral,Short,0,CH46 1RD,Prima,The construction four additional bungalows to a vacant plot adjacent to an exisiting bungalow scheme in Leasowe.,4,0.01,Brownfield,No ,,Social Rent,No,,"No Allocation, No Planning Permission, expired permission or other ",Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,Potential negotiated scheme with MMC manufacturer.,2026-12-01 00:00:00,2026-12-01 00:00:00,2028-03-01 00:00:00,Coordination Failure,0,,,,,,,,,,,,
65,RP065,Rose Brae,Prima,Wirral,Long,0,CH41 5EG,Prima,"The construction of 600 new apartments and associated commercial and amenity spaces on a former graving dock site off Church Street, Woodside, Birkenhead.",600,2.12,Brownfield,Yes,Left Bank,"540 x BTR, 60 x SO ",Yes,Central Birkenhead ,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,TBC,2025-05-01 00:00:00,2026-01-01 00:00:00,2027-12-01 00:00:00,Coordination Failure,0,"£120,000.00",Repair and renovation of existing buildings to meet Heritage requirements,Viability,,,,,,,,,
66,RP066,Former Prescot Police Station ,Prima ,Knowsley,Short,1,L34 3LG,Prima,The conversion of the former police station and court building and two outhouses into seven apartments and two bungalows and the construction of four new three bedroom houses in the carpark.,13,0.23,Brownfield,No ,,Shared Ownership,Yes,Prescot Town Centre,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,Negotiated ,2025-05-01 00:00:00,2026-01-01 00:00:00,2027-12-01 00:00:00,Coordination Failure,1,"£1,250,000.00",Repair and renovation of existing buildings to meet Heritage requirements,£90k per unit required. HE have confirmed they would provide £60k per unit ,,,,,,,,,
67,RP067,Balmoral Road ,Prima,Liverpool,Short,0,L6 4NB,Prima,"The construction of new homes, either two houses or four apartments on vacant plot infill site where dilapidated houses where demolished several decades ago.",5,0.01,Brownfield,No ,,2-5 units for Social Rent,No,,"No Allocation, No Planning Permission, expired permission or other ",Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,Potential negotiated scheme with MMC manufacturer.,2025-07-01 00:00:00,2026-06-01 00:00:00,2028-06-01 00:00:00,Coordination Failure,0,,,,,,,,,,,,
68,RP068,Blackacre Road,Prima ,Knowsley,Medium,0,L26 9UY,Prima,"The construction five to ten bungalows for supported housing on a disused garage site in Halewood.  
The site will support between 5 and 10 bungalows and we are currently exploring options for adults, children or a potential mixed scheme with respite care provision included.",10,0.2,Brownfield,No ,,Supported Living ,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Single Private,Potential negotiated scheme with MMC manufacturer.,2026-12-01 00:00:00,2026-12-01 00:00:00,2028-03-01 00:00:00,Coordination Failure,0,,,Viability,,,,,,,,,
69,RP069,Ormonde Crescent ,Prima ,Knowsley,Medium,0,L33 5XR,Prima,"The construction five to ten bungalows for supported housing on a disused garage site in Halewood.  
The site will support between 5 and 10 bungalows and we are currently exploring options for adults, children or a potential mixed scheme with respite care provision included.",10,0.2,Brownfield,No ,,Supported Living ,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Single Private,Potential negotiated scheme with MMC manufacturer.,2026-12-01 00:00:00,2026-12-01 00:00:00,2028-03-01 00:00:00,Coordination Failure,0,,,Viability,,,,,,,,,
70,RP070,New Ferry Site A,Regenda,Wirral,Short,0,CH62 5ER,M&Y Maintenance & Construction,"43 units in New Ferry centre, the second phase of a wider regneration project.",43,0.9,Brownfield,No,,Social Rent & Rent to Buy,No,,Full/RM consent in place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Public,Negotiated tender,2026-01-01 00:00:00,2026-03-01 00:00:00,2027-03-01 00:00:00,,1,,Viability gap,Utilities diversions and new substation required,,,,,,,,,
71,RP071,Whitfield Street,Magenta,Wirral,Short,1,CH42 0LR,Magenta ,Land owned by Magenta Living.  The site was previously the location of a sheltered housing scheme that was demolished and then leased to another prganisation and used as a car park until a few years ago.  The site has planning for 12 family homes (a mix of 3 bed 4 person and 3 bed 5 person).  The main challenge with this site has been financial viability due to low values in the area.,12,,Brownfield,No ,,"12 Family Homes, 3 beds ",No,,Full/RM consent in place,D/C/RP procurement/negotiations underway,Single Private,Framework,,2026-03-01 00:00:00,2027-07-01 00:00:00,,1,"£2,090,000.00",Viability due to values ,Delay in reciept of AHP Grant ,,,,,,,,,
72,RP072,"Lyndale Avenue, Eastham ",Magenta,Wirral,Medium,0,CH62 8DE,Caseys,"Council owned site, being sold. Redevelopment of brownfield site. Magenta looking at package deal (land and works) with Caseys who were selected as preferred purchaser by the council.",24,0.52,Brownfield,No ,,"Social Rent, affordable rent ",No,,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Public ,Package deal,2026-09-01 00:00:00,2027-12-01 00:00:00,TBC,,0,,,,,,,,,,,,
73,RP073,Naylor Road ,Magenta,Wirral,Medium,0,CH43 7SN,Magenta ,Land owned by Magenta Living.  The site used to house family homes which were demolished a number of years ago.  Magenta are working with Seddon and John McCall Architects.  Looking to deliver mainly general needs housing with some specialist supported housing also to bring a new service offer to the local community.,TBC,,Brownfield,No ,,TBC,No,,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Single Private,Framework,TBC ,TBC,TBC,,0,,,Liikely issues over viability ,,,,,,,,,
74,RP074,"Former MoD Site, Old Hall Road, Bromborough ",Magenta ,Wirral,Medium,0,CH62 3QA ,Northstone,"Former council owned site,being sold to Northstone subject to planning, Magenta Living negotiating on S106 units. Redevelopment of brownfield site (former MOD site). ",50,8.03,Brownfield,No ,,"S106 part of wider site, 25x AR, 25x SO",No,,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Public ,S106 Part of Northstone Development ,2025-09-01 00:00:00,2026-12-01 00:00:00,TBC,,0,£0,"Planning assistance, already recieved HE & CA grant",Planning taking longer than anticipated ,,,,,,,,,
75,RP075,"Pasture Road AR/SO , Moreton ",Magenta ,Wirral,Short,,CH46 8SB,Magenta ,"Former council owned site, initially sold to Vistry, now acquired by Magenta Living. Redevelopment of brownfield site. Magenta in contract with Countryside (under the Vistry Group) to build out the 44x houses on the site. Site also shared with Alpha who are delivering the extra care scheme with Countryside too.",44,1.16,Brownfield,No ,,9x Affordable Rent and 35x Shared Ownership,No,,Full/RM consent in place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Public ,Package Deal ,2025-07-01 00:00:00,2025-07-01 00:00:00,2027-05-01 00:00:00,,1,,Viability gap as HE are not accepting new CME bids,Viability ,,,,,,,,,
76,RP076,Quarry Road East ,Magenta ,Wirral,Medium,0,CH61,Anwyl ,"Negotiation stage with Anwyl. Looking to acquire 25x S106 units, plus 21x Additionality. Brownfield site with planning and construction has started.",46,,Brownfield,No ,,"SO, AR, SR, PRS",No,,Full/RM consent in place,D/C/RP procurement/negotiations underway,Single Private,Package Deal ,,2025-06-01 00:00:00,TBC,,0,,,None ,,,,,,,,,
77,RP077,"Queens Road, Rock Ferry",Magenta ,Wirral,Medium,0,CH42 2ED,Magenta ,Site was previously a sheltered housing scheme that was decommissioned and demolished.,TBC,,Brownfield,No ,,Social rent and Affordable Rent,No,,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Single Private,Framework,,,,,0,,Viability Grant likely required ,,,,,,,,,,
78,RP078,Redcourt ,Magenta ,Wirral,Medium,0,CH43 1TX,Magenta ,"""The development stalled in April 2022 after the initial contractor became insolvent.  At the point works ceased on site, the drainage and foundations had been laid. Magenta has struggled to remobilise this project due to a significant viability gap which would have resulted in an impairment.  We engaged with a regional developer in 2022 with a view to remobilising the site, however the costs submitted were not viable, even with additional grant from Homes England and the Brownfield Land Fund.  The Homes England AHP 21-26 allocation we had secured was to provide Shared Ownership homes, however this grant was reallocated to another project after the delays to Redcourt meant we would not be able to achieve the AHP deadline.  EoI submitted to LCR CA for BLF 2025 gap year funding.

Following many financial appraisals testing varios tenures and approaches, the decision was made to convert the proposed tenure to PRS as the best performing tenure.  The Local Authority has been made aware as this will require an amendent to be submitted to planning.""				",TBC,,Brownfield,No ,,Private Rent,No,,Full/RM consent in place,D/C/RP procurement/negotiations underway,Single Private,Framework,,2026-05-01 00:00:00,,,1,"£7,613,000.00",Viability Grant and planning ammendment ,Viability has been the biggest constraint due to carrying cost accruedprior to contract insolvency and increase in contruction costs since original Contract Sum.,,,,,,,,,
79,RP079,Sandymoor South Ph2 S106,Magenta ,Halton,Short,1,WA7 1XY,Keepmoat,"Keepmoat developing this phase at Sandymoor, where Homes England is the land owner and Keepmoat are developing under a build lease. Magenta in negotiations over the S106 units",44,1.16,Brownfield,No ,,"9x AR, 35x SO",No,,Full/RM consent in place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Public ,Package Deal,2025-07-01 00:00:00,2025-07-01 00:00:00,2027-05-01 00:00:00,,1,,Viability gap,HE not accepting new CME bids,,,,,,,,,
80,RP080,Seacombe regen Projects ,Magenta ,Wirral,Medium,1,Various ,Magenta ,part of the 74 new homes across 3 brownfield sites within Runcorn station quarter,30,,Brownfield,Yes,Left Bank,SR and AR ,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Mixed - Public / Private ,Tender,2027-12-01 00:00:00,2028-03-01 00:00:00,TBC,,0,,"Grant, buy back","Multiple property owners in some instances, viability gaps, loss of existing homes potentially",,,,,,,,,
81,RP081,"Extra Care, Bromborough  Wharf East",Magenta ,Wirral,Medium,0,Bromborough ,Magenta ,Early stages of bid ,111,,Brownfield,No ,,111x SR (Extra Care),No,,Outline/hybrid consent granted ,D/C/RP procurement/negotiations underway,Single Private,Package Deal ,2027-12-01 00:00:00,2027-03-01 00:00:00,2029-03-01 00:00:00,,1,,"Viability grant, planning, remediation ",Viability gap ,,,,,,,,,
82,RP082,"RP Owned, Bromborough Wharf East ",Magenta ,Wirral,Medium,0,Bromborough ,Magenta ,Early stages of bid ,145,,Brownfield,No ,,"SO, SR, AR, RTB, PRS ",No,,Outline/hybrid consent granted ,D/C/RP procurement/negotiations underway,Single Private,Package deal ,2027-12-01 00:00:00,2027-03-01 00:00:00,2030-03-01 00:00:00,,1,,"Viability grant, planning, remediation ",,,,,,,,,,
83,RP083,"Three Sails Point, Widnes",Magenta ,Halton,Short,0,WA8 0TF,Magenta ,"Phases 1 and 2 (158 homes) are currently under construction with the final homes on phase 1 due to handover before the end of the summer.  Phase 3 will deliver a further 85 homes.  Challenges todate include contractor insolvency, contamination, drainage and viability.",85,,Brownfield,No ,,Social/Affordable Rent/Private Rent/Specialist,No,,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Single Private,Framework,TBC ,TBC,TBC,,0,,Many issues have been overcome on the site which Phase 3 will benefit from with hopefully less challenges than we have faced so far.  Anticipate viability to be the biggest challenge due to apportionment of site wide costs accrued before contractor insolvency.,"Viability constraints, ground conditions",,,,,,,,,
84,RP084,Mill Lane Wirral ,Plus Dane Housing,Wirral,Short,0,CH44 3BD,Plus Dane Housing,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of Runcorn,33,0.31,Brownfield,No ,,33 Social Rent  - 22nr x 1bed/2person  and  11nr 2 bed/3person,No,,Full/RM consent in place,D/C/RP procurement/negotiations underway,Single Private,Land and Build Package,2026-09-01 00:00:00,2026-09-01 00:00:00,2028-09-01 00:00:00,Market Power,1,,"Viability gap - build package price £6,632,147",,,,,,,,,,
85,RP085,Marsden Avenue ,Plus Dane Housing,St Helens,Short,0,WA10 4JW,Plus Dane Housing,This a package deal from the Quinntana Group who is packaging the land and build for 26 cottage style apartment. The scheme has previosuly had planning in 2010 for 16 dwellings but the scheme never came to fruitation for Helena Housing.  As part of due diligence Quinntana and sought several build prices with PJM Construction providing the most competitive cost. ,26,0.26,Brownfield,No ,,26 Social Rent  - 20nr x 1bed/2person  and  6nr 2 bed/3person,No,,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Single Private,Land and Build Package,2026-09-01 00:00:00,2026-09-01 00:00:00,2028-09-01 00:00:00,Market Power,1,,"Viability gap - build package price £4,467,525",,,,,,,,,,
85,RP095,Storrington Fire Station,Cobalt,Liverpool,,0,,Cobalt,,83,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
85,RP086,Langholme,Cobalt,Liverpool,Short,0,,Cobalt,,50,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
85,RP088,Stalisfield Avenue,Cobalt,Liverpool,Short,0,,Cobalt,,8,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
85,RP087,Carr Lane East,Cobalt,Liverpool,,0,,Cobalt,,6,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
86,LIV001,"Central Tin, Wilbraham Street",Liverpool,Liverpool,Short,1,L5 5BH,TBC,"A development of 39 family homes within the land formerly occupied by Central Tin Containers Ltd, vacated in 2014.  Given the site's historic use and the dilapidated nature of the buildings, redevelopment is essential.",30,0.6,Brownfield,Yes,North  Liverpool ,"50% SR, 25% AR, 25% Intermediate",Yes,North Liverpool Regeneration,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Public,Private Treaty Sale,2027-09-01 00:00:00,2027-09-01 00:00:00,2028-12-01 00:00:00,Coordination Failure,1,,Site Investigations/Viability Gap/Designs/Remediation/Demolition,Vacant Upper floors of heritage buildings within Town Centre. Requires modernisation and conversation to residential use. including accessibility improvements,,,,,,,,,
87,LIV002,Edge Lane/Belltower Lane,Liverpool,Liverpool,Short,0,L7 8SJ,Duke Developments,"A proposed development of 66 family homes consisting of 30, 3 bed homes and 36, 1/2 bed apartments.  ",66,0.91,Brownfield,No,,100% Affordable,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Mixed - Public/Private ,Direct Sale to Duke Developments Ltd. as they are a Special Purchaser.,2026-09-01 00:00:00,2026-09-27 00:00:00,2027-11-01 00:00:00,Coordination Failure,1,,Site Investigations/Viability Gap,"Multiple land owners, stalled sites, site viability, ground conditions",,,,,,,,,
88,LIV003,Gore Street ,Liverpool,Liverpool,Medium,0,L8 5RJ,TBC,"Long term vacant site that has a strategic location adjacent to the proposed Baltic Train Station, to deliver a high density scheme of c.210 apartments. Site is to be used as site com[pound for the proposed new station.",210,1.97,Brownfield,No,,80% Private 20% Affordable,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Public,Private Treaty Sale,2027-10-01 00:00:00,2028-10-01 00:00:00,2030-10-01 00:00:00,Coordination Failure,1,,Site Investigations/Viability Gap,"Viability constraints, ground conditions, private ownership (to be incorporated into the wider development site) to be acquired",,,,,,,,,
89,LIV004,Head Street ,Liverpool,Liverpool,Medium,0,L8 1UY,TBC,"Proposed development of 180 high density housing. Site currently comprises of Council held industrial estae, which is in poor condition with structural conditions.",180,1,Brownfield,No,,80% Private 20% Affordable,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Mixed - Public/Private ,Private Treaty Sale,2027-10-01 00:00:00,2028-03-01 00:00:00,2030-03-01 00:00:00,Coordination Failure,1,,Site Investigations/Viability Gap/Remediation,"Viability constraints, ground conditions, current legal structure/lease arrangement",,,,,,,,,
90,LIV005,Lodge Lane,Liverpool,Liverpool,Short,0,CH41 6ED,L8 Matters ,"Community led housing scheme delivering 18 affordable rented houses together with community space. The scheme is to be delivered by L8 Matters with support from a RP. The  re is an opportunity to bring forward a more comprehensive housing led scheme with additional community facilties involving other Council land and buildings, including the empty lodge Lane Library				",18,0.23,Brownfield,No,,100% Affordable,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Public,Direct disposal (under LCC community led housing policy),Q12026,Q226/27,Q427/28,Coordination Failure,1,"£49,000.00",Site investigations/viability gap,"Site viability, ground conidtions",,,,,,,,,
91,LIV006,Land at Mill Street (LCC) ,Liverpool,Liverpool,Medium,0,L8 4RF,The Florrie ,Community led housing scheme providing 96 social rented houses together with managed community workspace. The scheme is to be delivered by the Florrie with support from Sovini. The scheme will result in 0.96 Ha of brownfield land being redeveloped.,96,0.96,Brownfield,No,,100% Affordable,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Public,Direct disposal (under LCC community led housing policy),Q1 2026/27,Q2 2026/27,Q4 2027/28,Coordination Failure,1,"£80,000.00",Site investigations/viability gap,"Site viability, ground conidtions",,,,,,,,,
92,LIV007,"Land at Netherfield Road North/Anderson Street and Hampton Street, The Rotunda",Liverpool,Liverpool,Short,1,L5 4LS,The Rotunda ,"Community led housing scheme providing 112 affordable houses together with community space. The development comprises 64 one-bedroom apartments and 48 two-bedroom apartments, strategically planned across four storeys. The scheme is split across two sites, which were previously former Council housing. ",112,0.96,Brownfield,Yes,North  Liverpool ,100% Affordable ,Yes,North Liverpool Regeneration,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/c/RP procurement/negotiations underway,Public,Direct disposal (under LCC community led housing policy),Q1 2026/27,Q2 2026/27,Q4 2027/28,Coordination Failure,1,"£80,000.00",Site investigations/viability gap,"Site viability, ground conidtions",,,,,,,,,
93,LIV008,Former Four Oak School/ Domingo St Depot (A),Liverpool,Liverpool,Short,0,L5 0RA,TBC,A development of 136 family homes located in North Liverpool.  The land required to deliver the develoment is a combination of PDL and informal open space.  ,136,3.44,Brownfield,Yes,North  Liverpool ,80% Private 20% Affordable,Yes,North Liverpool Regeneration,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Public,Private Treaty Sale,2026-05-01 00:00:00,2028-03-01 00:00:00,2031-12-01 00:00:00,Coordination Failure,1,,Site investigations/viability gap,Likely issues over viability ,,,,,,,,,
94,LIV009,Stonebridge Cross (SHLAA Site H) ,Liverpool,Liverpool,Short,0,L11 0BD,TBC RP + Private Sector ,"Potential mix use site, including housing located on one of the main arterial routes into the city. ",220,,Brownfield,No,,50% private: 50% affordable,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Public,Open Market,2027/28,2027/28,2030/31,Coordination Failure,1,,Site investigations/viability gap,"Site Abnormals, Viability ",,,,,,,,,
95,LIV010,Vescock Street/ Limekiln Lane  B,Liverpool,Liverpool,Short,0,L5 8US,Torus ,"A development of 120 family homes which potentially combines land conrolled by Torus and LCC land, together with the opportunity to bring in the private sector. The Council are developing wider proposals for the area, bringing forward new housing, improved highway infrastrucre and connectivity as well enhance Greatie Market, which is in close proximity to the site. ",120,3.6,Brownfield,Yes,North  Liverpool ,"96 PRS, 24 Affordable ",Yes,North Liverpool Regeneration,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Mixed - Public/Private ,Private Treaty Sale,2026-08-01 00:00:00,2027-05-01 00:00:00,2029-07-01 00:00:00,Coordination Failure,1,,Increased Grant to achieve increased final tenure mic of Social rent ,"Site viability, ground conidtions",,,,,,,,,
96,LIV011,Stalled Site L ,Liverpool,Liverpool,Medium,0,L5,TBC,Long term derelict site. Extant planning with consent for 130 homes. Discussions on-going with landowner to facilitate the site coming forward. Gap funding will be needed to deliver current consented scheme,130,,,Yes,North  Liverpool ,80% private 20% affordable,Yes,North Liverpool Regeneration,Full/RM Consent in Place,D/C/RP procurement/negotiations underway,Mixed - Public/Private ,TBC,2027/28,2027/28,2029/30,Coordination Failure,1,,Site Investigations/Viability Gap,"Site viability, stakeholder consensus",,,,,,,,,
97,LIV012,Stalled Site M ,Liverpool,Liverpool,Medium,0,L8,TBC,Long term derelict building and cleared sites. Extant planning with consent for 99 homes. Discussions on-going with landowner to facilitate the site(s) coming forward. Gap funding will be needed to deliver current consented scheme. Delivery of the scheme will remove long term blighted site and provide new homes for the area.,99,,Brownfield,No,,80% Private 20% Affordable,No,,Full/RM Consent in Place,D/C/RP procurement/negotiations underway,Mixed - Public/Private ,TBC,2027/28,2027/28,2029/30,Coordination Failure,1,,Site Investigations/Viability Gap,"Site viability, stakeholder consensus",,,,,,,,,
98,LIV013,Stalled Site D - Pumpfields ,Liverpool,Liverpool,Long,0,L3,TBC,"Stalled site with approval to erect part 10, part 8, part 7 storey residential block containing 310 units consisting of 146 1 bed units and 156 no 2 bed units, with associated access, servicing, parking and landscaping. Previous developer is in administration and funding support needed to facilitate the site being in single ownership and to address likely viability issues. ",310,0.49,Brownfield,Yes,North  Liverpool ,80% Private 20% Affordable,Yes,North Liverpool Regeneration,Full/RM Consent in Place,No Developer/Contractor/RP in place,Single Private,"Acquisition, Development, Brief, Market",2027-09-01 00:00:00,2028-04-01 00:00:00,2030-09-01 00:00:00,Coordination Failure,1,,Site acquisition  and site Investigations/design brief.,"Stakeholder consensus, stalled site",,,,,,,,,
99,LIV014,Stalled Site E ,Liverpool,Liverpool,Long,0,L1,TBC,"Stalled city centre site off one of the main arterial roads. Approval to erect 10/11 storey residential apartment block to provide 55 apartments. Started on site October 2018 but stalled for 2 years during Covid, and then again for the last 2 years, over 50% completed.  Previous developer is in administration and funding support needed to address likely viability issues due to stalled woks on site and bring to completion. Securing the development of the site will remove a significant neighbourhood and city blight and bring forward a high number of housing units in a key location.               ",55,0.07,Brownfield,No,,80& Private 20% Affordable,No,,Full/RM Consent in Place,No Developer/Contractor/RP in place,Single Private,"Acquisition, Development, Brief, Market",2026-04-01 00:00:00,2027-04-01 00:00:00,2030-09-01 00:00:00,Coordination Failure,1,,Site acquisition  and site Investigations/design brief.,In Administration,,,,,,,,,
